상품코드,상품명,판매가,노출상태,판매상태,공급사,등록일
45,마사지의 정석 (CST스탠다드+나스라),129000,노출,판매중,진바이오테크,2024-03-11
42,나스라 마사지기,49000,노출,판매중,진바이오테크,2023-11-02
27,라포르 수면안대,11000,노출,판매중,진바이오테크,2021-06-15
20,신침약 [향기성 약재],22500,미노출,판매중,진바이오테크,2020-04-01
16,씨스파인 소프트 마사지기,90000,미노출,품절,진바이오테크,2020-02-20
15,척추균형기 + CST 스탠다드,189000,노출,판매중,진바이오테크,2019-10-05
14,척추균형기,159000,노출,판매중,진바이오테크,2019-10-05
13,씨스파인 프리미엄 실리콘커버,20000,미노출,판매중,진바이오테크,2019-08-22
12,라포르 프리미엄 커버,17000,노출,판매중,진바이오테크,2019-07-11
11,CST 스탠다드 마사지기,96000,노출,판매중,진바이오테크,2019-07-11
10,라포르 오리지널 숙면베개 싱글셋트,149000,미노출,품절,진바이오테크,2019-05-30
9,씨스파인 마사지기,54000,노출,판매중,진바이오테크,2019-05-30
8,씨스파인 프리미엄 마사지기,120000,노출,판매중,진바이오테크,2019-05-30
7,라포르 프리미엄 숙면베개 바로베개,115000,노출,판매중,진바이오테크,2019-04-18
3,라포르 커버,15400,노출,판매중,진바이오테크,2019-04-18
